source,content
"FAAO 7110.65 10-2-17","If an aircraft reports a bomb threat, the controller must advise the pilot of the most suitable airport for landing, considering isolation and security. The controller should ask if the pilot intends to evacuate the aircraft on the runway. All information must be relayed to the supervisor and security authorities. The controller should handle the aircraft as an emergency."
"FAAO 7110.65 10-2-14","If a pilot requests technical assistance, the controller is not expected to provide it. However, the controller can act as a communication link to the airline's maintenance or dispatch center. The controller can relay information and instructions between the pilot and the technical experts."
"AIM 6-4-3","Light gun signals are used to communicate with aircraft that have lost radio communication. From the tower, a steady green light means 'Cleared for takeoff' (on ground) or 'Cleared to land' (in air). A flashing red light means 'Taxi clear of runway' (on ground) or 'Airport unsafe, do not land' (in air). A steady red means 'Stop!' (on ground) or 'Give way to other aircraft and continue circling' (in air)."
"FAAO 7110.65 5-2-17","If a pilot reports a TCAS RA, they are authorized to deviate from their assigned clearance to follow the RA. The controller should not attempt to modify the flight path of the aircraft involved in the RA. After the conflict is resolved, the pilot will report 'Clear of conflict,' and the controller will resume providing separation and issue a new clearance as needed."
"IVAO US-DIV SOP 6.1","On the IVAO network, simulating an emergency is permitted but must be done realistically and with prior coordination if possible. A pilot intending to simulate an emergency should include 'EMERG' in their flight plan remarks. Controllers should handle simulated emergencies with the same priority and procedures as a real one to provide a valuable training experience for all."
"FAAO 7110.65 9-2-13","Military aircraft on an IFR Military Training Route (IR) are flown under IFR and are provided separation by ATC. Aircraft on a VFR Military Training Route (VR) are flown under VFR and are responsible for their own separation. Controllers should provide traffic advisories to VFR aircraft in the vicinity of VR routes."
"FAAO 7110.65 4-3-4","A VIP TFR is established to protect persons like the President or Vice President. These TFRs are typically 'no-fly' zones with very limited exceptions. The controller's job is to ensure the TFR is not violated by vectoring all non-participating aircraft around it. Any aircraft that enters the TFR is considered a potential threat and is handled by security agencies."
"FAAO 7110.65 2-1-20","When a MOA (Military Operations Area) is active or 'hot,' VFR aircraft can fly through but should exercise extreme caution. IFR aircraft will be separated from the MOA activity by ATC. The controller must coordinate with the using agency to determine the status of the MOA and what altitudes are affected."
"FAAO 7110.65 3-10-4","When conducting simultaneous operations on intersecting runways, the controller must ensure that separation standards are met. For example, a takeoff clearance cannot be issued to an aircraft on one runway until the landing aircraft on the intersecting runway has passed the intersection. This requires precise timing and a clear view of the intersection."
"FAAO 7110.65 5-9-5","During CAT II/III ILS operations, the ILS critical area must be protected to prevent signal interference. This means no aircraft or vehicle can enter the area between the outer marker and the runway. Controllers must issue explicit hold short instructions for the ILS critical area, which is different from the normal runway hold short line."
"FAAO 7110.65 2-1-3","A flight with the call sign 'Flight Check' has priority over all other traffic except an aircraft in distress. This is because they are performing a critical mission to certify the accuracy of navigational aids. Controllers must accommodate their requested routes and altitudes, which are often non-standard, and provide separation from other aircraft."
"AIM 4-4-11","A pilot's response to a TCAS RA takes precedence over any ATC instruction. If a pilot reports 'TCAS climb,' and the controller had just issued a descent clearance, the pilot will climb. The controller must not issue any further instructions until the pilot reports 'Clear of conflict.' The controller's primary role becomes monitoring the situation and ensuring other traffic is not affected."
"FAAO 7110.65 10-2-1","If an aircraft experiences an engine failure after takeoff, the tower controller must maintain visual contact with the aircraft as long as possible and coordinate with the departure controller. The controller should ask for the pilot's intentions and be prepared for a potential return to the airport or an off-airport landing. All other traffic should be cleared from the area."
"FAAO 7110.65 10-2-6","An emergency descent requires immediate action from the controller. The phraseology 'Emergency descent approved' gives the pilot blanket clearance to descend. The controller must immediately broadcast a warning on all frequencies for the affected airspace, for example: 'Attention all aircraft in the vicinity of the ABC VOR, emergency descent in progress from Flight Level 350.'"
"FAAO 7110.65 10-1-5","When a pilot declares a fuel emergency, the controller must ask for the fuel remaining in minutes. This information is vital for planning and must be relayed to the receiving controller if the aircraft is handed off. The controller should provide the most direct routing to the airport and prepare for an expedited landing."
"FAAO 7110.65 10-2-5","If a hijacking is suspected, the controller should try to confirm by asking the pilot to squawk 7500 or to make a specific transmission if able. For example: 'N12345, if you are experiencing unlawful interference, squawk seven five zero zero.' The controller should avoid using the word 'hijack' on the frequency unless first used by the pilot."
"FAAO 7110.65 10-3-2","When an aircraft is considered overdue, the controller must check the flight plan for the proposed route and destination. They should also check with adjacent facilities and any airports along the route of flight to see if the aircraft has landed. This information is critical for narrowing the search area for SAR operations."
"FAAO 7110.65 10-4-4","When an aircraft is making an emergency landing, the controller should ask the pilot if they want the emergency equipment to be standing by. The phraseology is 'Do you want the emergency equipment standing by?' The controller then relays the pilot's request to the ARFF services. This ensures a coordinated response on the ground."
"AIM 6-4-3","An alternating red and green light gun signal means 'Exercise extreme caution.' This signal is used when there is a specific hazard, such as another aircraft in close proximity or an obstruction on the runway. It is a general warning signal that requires the pilot to be extra vigilant."
"FAAO 7110.65 9-2-13","When a military formation flight requests to split, the controller must issue separate clearances and transponder codes to each aircraft or element of the formation. The controller must ensure that standard separation is applied between the individual aircraft after the split is complete."
"FAAO 7110.65 9-4-1","A TFR for a special event like a major sporting event is established to provide a safe environment. These TFRs typically have a 3 nautical mile radius and extend up to 3,000 feet AGL. The controller must be aware of the TFR's dimensions and times and vector non-participating VFR aircraft around it."
"FAAO 7110.65 2-1-20","If a pilot requests to fly through an active MOA, the controller must advise the pilot that the MOA is active and that they will be responsible for their own separation from the military traffic. The controller should provide any known traffic advisories but cannot provide IFR separation from the MOA activity."
"FAAO 7110.65 3-10-4","A key requirement for simultaneous intersecting runway operations is that the runways must be dry. These operations are prohibited when the runways are wet or contaminated, as this can affect braking action and increase the risk of an aircraft overshooting the intersection."
"FAAO 7110.65 5-9-5","When CAT II/III ILS operations are in effect, the controller must use specific phraseology to inform pilots. This is typically done via the ATIS broadcast, for example: 'Low visibility procedures are in effect. ILS critical areas are not protected for aircraft over 10,000 pounds.' This alerts pilots to the more stringent requirements."
"AIM 7-3-6","A pilot of a non-RVSM aircraft who needs to fly in RVSM airspace for a specific reason (e.g., maintenance flight) must request an exception from ATC. The controller will coordinate this request and, if approved, must provide 2,000 feet of vertical separation between the non-RVSM aircraft and all other traffic."
"FAAO 7110.65 5-2-17","After a TCAS RA is resolved and the pilot reports 'Clear of conflict,' the controller must verify the aircraft's altitude and issue a new clearance to return it to its previously assigned altitude or a new altitude as required. Phraseology: 'N12345, roger, return to and maintain one zero thousand.'"
"FAAO 7110.65 10-2-1","If a pilot reports an engine fire, the controller should be prepared for an immediate emergency descent and landing. The controller should ask if the pilot has discharged the fire extinguishing agent. This information is important for the ARFF services. The controller should provide all possible assistance and clear traffic from the aircraft's path."
"FAAO 7110.65 10-2-14","If a pilot reports a medical emergency on board, the controller should ask for the nature of the medical problem and if a doctor is on board. The controller should also ask if the pilot wants to declare an emergency and land at the nearest suitable airport. This information helps coordinate with medical services on the ground."
"FAAO 7110.65 10-3-1","If an aircraft is overdue, the controller must issue an ALNOT (Alert Notice) within a specified time frame. The ALNOT is sent to all ARTCCs and facilities along the aircraft's route of flight. This notice officially begins the SAR process and alerts all facilities to be on the lookout for the missing aircraft."
